Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_sqrt,MonthlyIncome_sqrt,TotalWorkingYears_sqrt,PercentSalaryHike_sqrt,YearsAtCompany_sqrt,YearsInCurrentRole_sqrt,YearsSinceLastPromotion_sqrt,YearsWithCurrManager_sqrt,NumCompaniesWorked_sqrt
6.082762530298219,0,2,1,1,4,1,1,1,2,2,4,3,0,77.41446893184762,1.0,0,4.242640687119285,3,3,1,2.6457513110645907,2,4,2.6457513110645907,2.23606797749979,0.0,2.6457513110645907,6.082762530298219,77.41446893184762,2.6457513110645907,4.242640687119285,2.6457513110645907,2.23606797749979,0.0,2.6457513110645907,1.0
7.3484692283495345,0,1,1,1,4,1,4,0,3,3,4,3,0,102.4792661956554,2.6457513110645907,0,4.123105625617661,3,1,1,5.744562646538029,2,1,2.23606797749979,2.0,1.0,2.0,7.3484692283495345,102.4792661956554,5.744562646538029,4.123105625617661,2.23606797749979,2.0,1.0,2.0,2.6457513110645907
5.830951894845301,1,1,1,7,3,1,1,1,1,2,2,3,2,77.93587107359485,1.0,1,4.898979485566356,4,4,0,3.0,3,3,3.0,2.6457513110645907,0.0,2.449489742783178,5.830951894845301,77.93587107359485,3.0,4.898979485566356,3.0,2.6457513110645907,0.0,2.449489742783178,1.0
6.244997998398398,0,2,1,1,1,1,4,0,2,4,4,4,1,112.88046775239727,1.0,0,4.0,3,3,1,4.58257569495584,3,3,4.58257569495584,2.449489742783178,3.3166247903554,2.8284271247461903,6.244997998398398,112.88046775239727,4.58257569495584,4.0,4.58257569495584,2.449489742783178,3.3166247903554,2.8284271247461903,1.0
5.291502622129181,1,1,1,1,3,3,1,1,2,1,2,2,0,50.950956811427986,1.0,0,3.872983346207417,3,1,2,1.0,2,3,1.0,0.0,0.0,0.0,5.291502622129181,50.950956811427986,1.0,3.872983346207417,1.0,0.0,0.0,0.0,1.0
4.898979485566356,0,2,2,4,1,3,4,0,3,2,7,3,1,64.51356446515724,1.0,1,3.4641016151377544,3,3,2,2.23606797749979,3,3,2.23606797749979,2.0,0.0,1.7320508075688772,4.898979485566356,64.51356446515724,2.23606797749979,3.4641016151377544,2.23606797749979,2.0,0.0,1.7320508075688772,1.0
5.385164807134504,0,2,1,9,5,4,2,1,2,1,2,4,2,63.111013301958636,0.0,0,4.123105625617661,3,3,0,2.0,2,3,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951,5.385164807134504,63.111013301958636,2.0,4.123105625617661,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0
6.0,0,2,2,2,2,3,2,1,2,3,7,3,1,87.1550342780037,1.0,0,3.605551275463989,3,2,2,3.1622776601683795,2,3,3.1622776601683795,3.0,3.0,0.0,6.0,87.1550342780037,3.1622776601683795,3.605551275463989,3.1622776601683795,3.0,3.0,0.0,1.0
5.744562646538029,0,2,1,4,4,3,3,0,2,1,6,2,1,51.20546845796843,2.449489742783178,0,4.58257569495584,4,4,0,2.6457513110645907,3,3,1.7320508075688772,1.4142135623730951,1.0,1.0,5.744562646538029,51.20546845796843,2.6457513110645907,4.58257569495584,1.7320508075688772,1.4142135623730951,1.0,1.0,2.449489742783178
5.830951894845301,0,2,1,2,4,5,3,0,3,2,0,4,2,81.77407902263406,1.0,0,3.3166247903554,3,4,0,3.7416573867739413,2,4,3.7416573867739413,3.3166247903554,2.0,3.3166247903554,5.830951894845301,81.77407902263406,3.7416573867739413,3.3166247903554,3.7416573867739413,3.3166247903554,2.0,3.3166247903554,1.0
